GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	62920	1569430	206	0.2834
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	1570600	9784716	4713	0.3796
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	9789250	9795530	3	-1.284
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	9797820	16863509	3786	0.3903
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	16864367	16934753	48	0.6747
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	16934768	21621597	3141	0.3816
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	21622969	21622982	2	-1.4129
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	21626645	55473214	18824	0.3819
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	55473416	72297687	12062	0.3491
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	72302735	72303253	4	-0.5909
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	72305460	72313397	8	-2.5055
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	72313408	72345465	36	-0.8203
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	72346221	103621165	20024	0.3445
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	103697067	103717410	3	2.4816
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	103717617	105476748	922	0.3566
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	105476861	105479753	13	1.1374
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	105481433	110929814	3599	0.3565
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	110932799	110934361	3	-1.6012
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	110937265	112147704	995	0.3472
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	112153343	112154768	25	-0.7091
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	112163334	121135839	5076	0.3671
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	121148007	147530805	762	0.4585
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	147531237	147595529	48	0.3521
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	147598749	147598816	2	-1.1866
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	147605490	152583051	1716	0.3887
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	152583230	152613762	31	-1.5696
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	152613802	197925325	30302	0.3519
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	197925418	198079672	100	0.0463
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	198080287	206990086	5843	0.3658
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	206990228	222686348	11129	0.3372
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	1	222686889	248930189	18163	0.3629
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	12784	25190867	18353	-0.2103
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	25192216	27790800	1194	-0.1339
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	27791452	83680340	37713	-0.2044
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	83681697	83685028	2	-2.3029
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	83685488	86710564	1781	-0.1769
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	86725947	86726731	2	-2.5801
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	86743283	97359885	1928	-0.1643
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	97524284	97545726	9	0.8544
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	97550415	106266773	5564	-0.2014
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	106266875	106268901	7	-3.1805
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	106270799	140943037	20619	-0.204
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	140948024	141067016	102	-0.7974
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	141068363	141633447	397	-0.1368
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	141636823	141923829	259	-0.6579
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	141927243	146107615	2427	-0.2106
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	146107675	146109366	16	-1.9605
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	146120238	207635609	37039	-0.2196
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	207636221	207638827	2	-2.4646
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	207639869	208312017	374	-0.1698
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	208312083	229837936	14086	-0.2198
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	2	229844007	242147305	7510	-0.1809
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	20930	14503374	11780	0.1999
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	14506605	14922692	312	-0.2374
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	14922789	21762936	4228	0.1422
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	21765980	22172202	414	0.2588
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	22176672	44279919	14904	0.146
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	44286392	46760515	1546	0.1692
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	46760755	46802803	26	0.5466
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	46802910	52994359	2503	0.1948
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	52997720	52999132	13	0.8672
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	52999524	61969165	6770	0.1692
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	61972014	68697013	5282	0.1412
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	68697108	68698262	14	-1.256
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	68699607	84650533	9908	0.138
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	84650607	84652966	12	0.8056
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	84652985	100648260	6784	0.1355
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	100648381	100694337	26	0.512
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	100698382	118630600	11240	0.1226
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	118631158	130044855	6679	0.1565
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	130047743	130087393	37	-1.5318
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	130088081	136300257	4029	0.1394
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	136304109	136306584	2	-2.8318
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	136319699	146661402	6358	0.1343
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	146665207	146668345	4	-1.2389
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	146674197	147743379	566	0.2226
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	147744009	162498857	9104	0.1322
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162499044	162505987	19	-0.5813
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162506001	162790390	178	0.1233
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162790404	162815162	18	0.5034
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162816942	162822221	4	1.3257
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162822685	162822702	2	3.8853
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162827928	162846267	9	0.4035
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162849883	162869490	12	0.8641
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162869779	162996729	99	0.2501
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	162999939	163001774	2	-2.8678
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	163008371	193160113	19090	0.1421
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	193160173	193162798	8	-0.5311
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	193162937	193165114	11	-1.527
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	193168646	195455343	1457	0.1511
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	195458232	195729177	59	0.6205
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	3	195730018	198169247	1175	0.22
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	68929	10212536	5700	-0.1748
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	10221792	10229874	28	1.032
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	10232590	12342459	1767	-0.2264
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	12342502	12342622	2	-1.9938
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	12347791	34777353	15198	-0.2304
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	34777382	34830196	48	0.2367
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	34830245	37358883	1715	-0.2477
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	37358950	42274810	3189	-0.1915
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	42277139	48138380	3448	-0.2387
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	48138408	49653346	619	-0.0934
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	49654496	57375726	3705	-0.2118
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	57382041	57391987	8	-1.3548
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	57392188	63831799	3853	-0.2381
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	63831812	63842036	21	0.4191
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	63842099	68506285	2874	-0.2246
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	68509223	68620261	64	-1.3919
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	68623617	69377178	374	-0.0851
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	69378363	86990428	10928	-0.2323
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	86990539	88844554	1187	-0.7475
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	88844721	88848082	3	-3.4757
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	88850918	107145640	10726	-0.7949
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	107145671	107154329	22	-0.0791
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	107154401	114116272	4303	-0.794
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	114121216	114254167	89	-0.2017
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	114254188	114261019	22	0.6661
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	114263073	160958989	27947	-0.2405
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	160959045	160963756	18	-2.1477
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	160963767	164584433	2338	-0.2342
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	164584879	165005468	316	-0.1002
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	165005502	167914256	1753	-0.2435
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	167914440	168072733	111	-0.0016
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	168072942	171448195	2149	-0.2435
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	171453733	171456559	10	1.5867
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	171456573	180216304	5526	-0.2332
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	180217146	180217172	2	-2.1834
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	180225002	181620639	1143	-0.2292
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	181620998	181621230	2	1.5488
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	181626178	188300104	4659	-0.2024
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	188300206	188300285	4	1.663
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	4	188301659	190106768	1141	-0.1737
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	15532	724612	315	0.4298
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	725091	825538	36	1.1367
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	833513	11161513	8748	0.4449
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	11162524	11162659	3	-1.6799
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	11167165	12815668	1087	0.4278
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	12815753	12870103	19	0.9739
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	12885569	20339844	4853	0.4413
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	20347873	20846671	322	0.2048
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	20858813	21015650	79	0.6568
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	21015906	21451168	252	0.1387
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	21451855	21451889	2	-1.9341
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	21452329	33943487	7790	0.1367
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	33944112	34741735	444	0.2486
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	34742426	45009304	6281	0.1269
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	45017755	46196012	421	0.4693
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	46199332	46199333	2	-1.4019
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	46209197	46246558	12	0.5605
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	46251204	46273400	9	1.3436
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	46278110	58025819	5075	0.4245
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	58030200	58037706	32	2.3988
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	58042530	170736367	70619	0.4135
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	5	170736400	181363319	6465	0.4676
37e0f3fd-e3ba-47d8-a0ca-eb390033ab1a	6	149661	24321809	18625	0.1626
